Date,Open,High,Low,Close,Volume
01/04/2024,"430.33","432.78","429.21","429.43","3,945,259"
01/03/2024,"432.32","433.00","430.25","430.79","4,805,049"
01/02/2024,"433.91","435.27","432.36","434.01","9,076,041"
12/29/2023,"437.87","438.34","434.94","436.80","4,376,885"
12/28/2023,"438.25","438.84","437.66","437.97","4,703,655"
12/27/2023,"436.90","438.02","436.42","437.90","4,271,009"
12/26/2023,"435.67","437.92","435.58","437.10","3,835,837"
12/22/2023,"435.46","436.84","433.48","435.29","4,037,829"
12/21/2023,"433.13","434.64","430.86","434.28","4,621,606"
12/20/2023,"435.51","437.31","429.90","430.09","5,783,234"
12/19/2023,"436.04","438.22","435.95","438.19","4,061,508"
12/18/2023,"434.64","436.40","434.45","435.54","4,280,475"
12/15/2023,"433.19","434.25","432.24","433.09","5,326,041"
12/14/2023,"434.22","435.36","431.24","433.75","8,349,143"
12/13/2023,"426.88","432.61","426.51","432.48","8,659,116"
12/12/2023,"424.22","426.67","423.27","426.67","5,982,557"
12/11/2023,"422.41","424.71","422.22","424.56","5,247,086"
12/08/2023,"420.37","423.37","420.15","422.92","5,125,278"
12/07/2023,"419.81","421.67","419.28","421.13","3,248,251"
12/06/2023,"421.61","421.67","417.46","417.86","4,201,801"
12/05/2023,"418.34","420.47","418.00","419.61","3,419,283"
12/04/2023,"418.65","419.87","417.50","419.74","5,806,079"
12/01/2023,"418.83","422.37","418.25","421.86","4,973,625"
11/30/2023,"418.54","419.70","416.57","419.40","4,405,690"
11/29/2023,"420.06","421.12","417.37","417.78","4,092,618"
11/28/2023,"417.25","419.25","416.71","418.05","3,382,442"
11/27/2023,"417.79","418.53","417.23","417.64","3,632,552"
11/24/2023,"418.19","418.49","417.84","418.37","1,351,272"
11/22/2023,"418.07","419.31","417.06","418.14","3,694,064"
11/21/2023,"416.40","416.84","415.30","416.34","5,248,187"
11/20/2023,"413.99","418.20","413.98","417.43","3,524,412"
11/17/2023,"413.94","414.79","412.87","414.31","4,700,139"
11/16/2023,"412.74","413.95","411.75","413.70","3,798,889"
11/15/2023,"413.54","414.72","412.37","413.12","4,414,807"
11/14/2023,"410.04","413.51","409.89","412.22","6,973,115"
11/13/2023,"403.59","405.49","402.82","404.45","2,872,941"
11/10/2023,"400.59","405.11","399.14","404.86","3,994,439"
11/09/2023,"402.81","402.88","398.21","398.64","4,145,615"
11/08/2023,"401.99","402.50","399.56","401.67","3,731,858"
11/07/2023,"400.26","402.04","399.23","401.34","3,358,578"
11/06/2023,"400.12","400.73","398.46","400.21","4,007,105"
11/03/2023,"397.92","400.85","397.84","399.44","5,981,435"
11/02/2023,"391.93","395.91","391.92","395.78","4,752,164"
11/01/2023,"385.09","389.08","384.62","388.40","5,549,159"
10/31/2023,"382.35","384.48","380.56","384.17","4,523,160"
10/30/2023,"379.91","382.80","378.71","381.86","5,795,761"
10/27/2023,"380.53","380.89","375.95","377.32","5,638,752"
10/26/2023,"382.63","383.40","378.15","379.00","6,959,401"
10/25/2023,"387.60","387.68","383.12","383.71","5,471,214"
10/24/2023,"388.28","390.26","386.55","389.20","4,451,513"
10/23/2023,"385.48","389.94","383.85","386.31","5,537,131"
10/20/2023,"391.38","391.82","386.84","386.99","7,549,614"
10/19/2023,"395.97","397.60","391.14","391.87","6,708,903"
10/18/2023,"398.89","399.81","394.22","395.22","7,329,261"
